[2025-04-23 12:46:40,668] 15 root - INFO - Initiate the data ingestion
[2025-04-23 12:46:42,771] 65 root - INFO - Performed train test split on the dataframe
[2025-04-23 12:46:42,771] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-23 12:46:42,771] 70 root - INFO - Exporting train and test file path
[2025-04-23 12:46:42,834] 78 root - INFO - Exported train and test file path
[2025-04-23 12:46:42,834] 17 root - INFO - Data initiation Completed
[2025-04-23 12:46:42,846] 20 root - INFO - Initiate the data validation
[2025-04-23 12:46:42,887] 37 root - INFO - Required number of columns:2
[2025-04-23 12:46:42,887] 38 root - INFO - Data Frame has columns: 31
